APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,commodity_clean,apmc_clean,district_clean,arrival_month,flag_min_gt_max,flag_non_positive_price,flag_modal_out_of_range,is_valid_price,crop_season,msp_price,is_below_msp,price_gap_vs_msp,price_gap_pct_vs_msp
Ahmednagar,Bajri,2015,April,79,1406,1538,1463,2015-04,Ahmadnagar,Maharashtra,BAJRI,Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1275.0,False,188.0,14.745098039215687
Ahmednagar,Bajri,2016,April,106,1788,1925,1875,2016-04,Ahmadnagar,Maharashtra,BAJRI,Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1330.0,False,545.0,40.97744360902256
Ahmednagar,Wheat(Husked),2015,April,1253,1572,1890,1731,2015-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Rabi Crops,1525.0,False,206.0,13.508196721311474
Ahmednagar,Wheat(Husked),2016,April,387,1750,2220,1999,2016-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Rabi Crops,,False,,
Ahmednagar,Sorgum(Jawar),2015,April,3825,1600,2200,1900,2015-04,Ahmadnagar,Maharashtra,SORGUM(JAWAR),Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1590.0,False,310.0,19.49685534591195
Ahmednagar,Sorgum(Jawar),2016,April,2093,1695,2454,2119,2016-04,Ahmadnagar,Maharashtra,SORGUM(JAWAR),Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1650.0,False,469.0,28.424242424242426
Ahmednagar,Maize,2015,April,75,1345,1401,1373,2015-04,Ahmadnagar,Maharashtra,MAIZE,Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1325.0,False,48.0,3.6226415094339623
Ahmednagar,Maize,2016,April,155,1367,1392,1375,2016-04,Ahmadnagar,Maharashtra,MAIZE,Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1365.0,False,10.0,0.7326007326007326
Ahmednagar,Pigeon Pea (Tur),2015,April,144,4993,5373,5233,2015-04,Ahmadnagar,Maharashtra,PIGEON PEA (TUR),Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,4425.0,False,808.0,18.259887005649716
Ahmednagar,Pigeon Pea (Tur),2016,April,33,6900,7700,7329,2016-04,Ahmadnagar,Maharashtra,PIGEON PEA (TUR),Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,4625.0,False,2704.0,58.464864864864865
Ahmednagar,Mustard,2015,April,22,3617,3617,3617,2015-04,Ahmadnagar,Maharashtra,MUSTARD,Ahmednagar,Ahmadnagar,2015-04-01,False,False,False,True,Rabi Crops,3350.0,False,267.0,7.970149253731343
Ahmednagar,Mustard,2016,April,2,3800,3800,3800,2016-04,Ahmadnagar,Maharashtra,MUSTARD,Ahmednagar,Ahmadnagar,2016-04-01,False,False,False,True,Rabi Crops,,False,,
Akole,Bajri,2015,April,52,1357,1800,1525,2015-04,Ahmadnagar,Maharashtra,BAJRI,Akole,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1275.0,False,250.0,19.607843137254903
Akole,Bajri,2016,April,75,1460,1960,1685,2016-04,Ahmadnagar,Maharashtra,BAJRI,Akole,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1330.0,False,355.0,26.691729323308273
Akole,Paddy-Unhusked,2015,April,113,1450,1925,1625,2015-04,Ahmadnagar,Maharashtra,PADDY-UNHUSKED,Akole,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1410.0,False,215.0,15.24822695035461
Akole,Paddy-Unhusked,2016,April,448,1500,2017,1704,2016-04,Ahmadnagar,Maharashtra,PADDY-UNHUSKED,Akole,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1470.0,False,234.0,15.918367346938775
Akole,Wheat(Husked),2015,April,164,1450,1975,1644,2015-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Akole,Ahmadnagar,2015-04-01,False,False,False,True,Rabi Crops,1525.0,False,119.0,7.80327868852459
Akole,Wheat(Husked),2016,April,115,1517,2150,1725,2016-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Akole,Ahmadnagar,2016-04-01,False,False,False,True,Rabi Crops,,False,,
Jamkhed,Bajri,2015,April,164,1304,1446,1375,2015-04,Ahmadnagar,Maharashtra,BAJRI,Jamkhed,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1275.0,False,100.0,7.8431372549019605
Jamkhed,Bajri,2016,April,45,1513,1742,1627,2016-04,Ahmadnagar,Maharashtra,BAJRI,Jamkhed,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1330.0,False,297.0,22.330827067669173
Jamkhed,Wheat(Husked),2015,April,735,1856,2256,2056,2015-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Jamkhed,Ahmadnagar,2015-04-01,False,False,False,True,Rabi Crops,1525.0,False,531.0,34.81967213114754
Jamkhed,Wheat(Husked),2016,April,46,2132,2268,2200,2016-04,Ahmadnagar,Maharashtra,WHEAT(HUSKED),Jamkhed,Ahmadnagar,2016-04-01,False,False,False,True,Rabi Crops,,False,,
Jamkhed,Sorgum(Jawar),2015,April,20890,1800,2800,2300,2015-04,Ahmadnagar,Maharashtra,SORGUM(JAWAR),Jamkhed,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1590.0,False,710.0,44.65408805031446
Jamkhed,Sorgum(Jawar),2016,April,24391,1861,2933,2397,2016-04,Ahmadnagar,Maharashtra,SORGUM(JAWAR),Jamkhed,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1650.0,False,747.0,45.27272727272727
Jamkhed,Pigeon Pea (Tur),2016,April,191,6825,7452,7143,2016-04,Ahmadnagar,Maharashtra,PIGEON PEA (TUR),Jamkhed,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,4625.0,False,2518.0,54.443243243243245
Kopargaon,Bajri,2015,April,354,1164,1469,1401,2015-04,Ahmadnagar,Maharashtra,BAJRI,Kopargaon,Ahmadnagar,2015-04-01,False,False,False,True,Kharif Crops,1275.0,False,126.0,9.88235294117647
Kopargaon,Bajri,2016,April,388,1603,2018,1750,2016-04,Ahmadnagar,Maharashtra,BAJRI,Kopargaon,Ahmadnagar,2016-04-01,False,False,False,True,Kharif Crops,1330.0,False,420.0,31.57894736842105
